BOOK_ID	ADV	DET	DOM	FANT	HIST	HOR	POL	REL	ROM	SCI	WAR	WEST
1	-0.8770702880351202	-0.7639184849910662	-0.7788965039456088	-1.015404779542378	-0.045015781512348085	-1.1107603995087894	0.2863759809585953	-1.0874841230699994	-0.11961815759816719	-0.8274883973499684	-0.9764835317602278	-1.0038822295750731
3	-0.97265029785558	0.31513334742035426	-0.7165552720743392	-0.894551306900503	-0.9555527378046311	-1.0034476559346936	-0.8191137206442765	-1.2613033440855765	-0.6149627649694902	-1.1601131324201008	-1.141561252207387	-0.9870883033551705
13	-1.0156996271398735	-1.3165860185756535	-0.5161828540842801	-0.8783868536126638	-0.7204939388165263	-0.9833186680723305	-0.827325135006602	-0.4788077930163036	0.9103489166484359	-1.007866407429906	-0.9760778768604299	-0.7714090634413097
15	-0.8863332594185628	-0.9423473966531221	0.5920098875127651	-0.93669860928063	0.8871141224670607	-1.0474459945604593	-0.8129721508571082	-0.9332100127298703	0.8229502279048854	-1.156357332288901	-0.9114801919455117	-0.9253830567713617
21	-1.1261502542381432	-1.2147272600448245	0.02348458632065431	-0.9969902595159408	-0.4850823239456836	-1.0145804379883734	-0.6534280252546916	-0.6256738892598612	0.21652762410060156	-0.8698469488209355	-1.018987350398923	-0.6421011394031442
22	-1.1622554445789615	-1.3810063146158655	0.2791406953593121	-1.124572557813795	-0.38607999563025575	-1.0856928406147592	-0.7053899829171908	0.42868123044855655	0.21707786214370162	-1.303263360459399	-1.1538260251836108	-1.1917054249220216
37	-0.9322096761429929	-0.6684263304681123	-0.3928018129793239	-1.1550351840120643	-0.3398895666240269	-1.174574075670658	-0.9749987752559502	-1.0079313002199066	0.7202638510054034	-0.8833360467747002	-1.1026347897159299	-0.7684066677918581
38	-1.0735676182449676	-0.5862515839918958	-0.5971099765856529	-1.2618028807552681	-0.5387257317244312	-1.1379311210687535	-1.0073117863498868	-0.9145117383905583	-0.10907774966616535	-0.7188675075207707	-0.9630820866503312	-1.230914233961331
39	-1.0763200188391424	-0.2399276762404099	-1.0632954601281184	-1.0932884118140616	-0.4826464680582223	-1.1298573030299692	-1.082813020083474	-0.682486615056125	0.5701254431882106	-0.9744792128410765	-1.11517643547875	-1.005174625854916
48	-0.8747366388752652	0.8160446665175681	-1.6213138445988076	-0.9795969154992439	-0.427576987216043	-1.0838664091347543	-0.7933734477472127	-1.252731848494224	-0.9227694677016238	-1.2737007508577936	-1.1965190282603364	-0.732585370530429
50	-0.8391019030751743	-0.9930225605806582	-0.6248896824339059	-0.6732063521774894	-0.5713882554271454	-0.7235042765353022	-1.0240832718080095	-0.16245151179181605	0.38686820408146194	-1.1029547891361888	-0.9201006438768948	-0.6662415296709892
